Abadiano (Los Bajos) , Michoacán. Clave Lada 353
El Colomo , Nayarit. Clave Lada 329
El Colorado (Zerecuato) , Michoacán. Clave Lada 359
El Conchal , Veracrúz. Clave Lada 229
El Contadero , Hidalgo. Clave Lada 774
El Control , Tamaulipas. Clave Lada 868
El Corcovado , Jalisco. Clave Lada 317
El Coyote , Coahuila. Clave Lada 871
El Crucero de Pololcingo , Guerrero. Clave Lada 733
El Crucero de Santa Maria , Jalisco. Clave Lada 377
El Cuajilote , Veracrúz. Clave Lada 278
El Cuenqueno , Michoacán. Clave Lada 328
El Cuervo , Querétaro. Clave Lada 441
El Cuyo , Yucatán. Clave Lada 986
El Chanal , Colima. Clave Lada 312
El Chante , Jalisco. Clave Lada 317
El Chauz , Michoacán. Clave Lada 425
El Chayote , Aguascalientes. Clave Lada 465
El chico , Jalisco. Clave Lada 357
El Chico , Veracrúz. Clave Lada 228
El Chique , Zacatecas. Clave Lada 463
El Chote , Veracrúz. Clave Lada 784
El Chucarit , Sonora. Clave Lada 647
El Deca , Hidalgo. Clave Lada 759
El Derramadero , Guanajuato. Clave Lada 445
El Descanso , Baja California. Clave Lada 665
El Diezmo , Guanajuato. Clave Lada 411
El Dorado , Sinaloa. Clave Lada 667
El Durazno , Durango. Clave Lada 674
El Durazno , Zacatecas. Clave Lada 494
El Eden , Oaxaca. Clave Lada 287
El Escondido , Guerrero. Clave Lada 732
El Espinal , Sinaloa. Clave Lada 696
El Espinal , Veracrúz. Clave Lada 279
El Espinalillo , Guerrero. Clave Lada 781
El Estanco , Estado de México. Clave Lada 724
El Farallon(Campamento CFE) , Veracrúz. Clave Lada 296
El Fortin , Michoacán. Clave Lada 353
El Fraile , Guerrero. Clave Lada 762
El Fraile , Nuevo León. Clave Lada 826
El Fresno de la Reforma , Michoacán. Clave Lada 454
El Fresno , Guanajuato. Clave Lada 461
El Fuerte , Sinaloa. Clave Lada 698
El Granjenal , Michoacán. Clave Lada 438
El Grullo , Jalisco. Clave Lada 321
El Habal , Sinaloa. Clave Lada 669
El Hatito , Veracrúz. Clave Lada 285
El Higo , Veracrúz. Clave Lada 489
El Hongo , Baja California. Clave Lada 665
El Huajote , Sinaloa. Clave Lada 694
El Huexco , San Luis Potosí. Clave Lada 483
El Huitussi , Sinaloa. Clave Lada 687
El Huizache , Guanajuato. Clave Lada 411
El Ingenio Azucarero , Chiapas. Clave Lada 964
El Jabali , San Luis Potosí. Clave Lada 487
El Jaguey , Guanajuato Clave Lada 432
El Jaguey , Hidalgo. Clave Lada 761
El Jazmin , Jalisco. Clave Lada 343
El Jicaro , Veracrúz. Clave Lada 274
El Jicote , Nayarit. Clave Lada 311
El Jobo , Chiapas. Clave Lada 961
El Jocoque , Guanajuato. Clave Lada 413
EL Laurel , Veracrúz. Clave Lada 294
El Letrero , Michoacán. Clave Lada 425
El Limon , Jalisco. Clave Lada 321
El Limon , Nayarit. Clave Lada 389
El Limon , Tamaulipas. Clave Lada 831
El Lobo , Querétaro. Clave Lada 441
El Lucero (Arcinas) , Durango. Clave Lada 872
El Magozal , Veracrúz. Clave Lada 833
El Maguey , Guanajuato. Clave Lada 417
El Maguey , Tamaulipas. Clave Lada 841
El Maluco , Michoacán. Clave Lada 454
El Marmol , Guanajuato. Clave Lada 469
El Mejay , Hidalgo. Clave Lada 738
El Mentidero , Jalisco. Clave Lada 317
El Mezquital , Hidalgo. Clave Lada 772
El Milagro , Querétaro. Clave Lada 448
El Millon , Chihuahua. Clave Lada 656
El Molino , Chihuahua. Clave Lada 659
El Molino , Chihuahua. Clave Lada 639
El Molino , Jalisco. Clave Lada 387
El Moralillo , Veracrúz. Clave Lada 833
El Nacimiento , Guanajuato. Clave Lada 476
El Naranjo , Colima. Clave Lada 314
El Naranjo , Guerrero. Clave Lada 733
El Naranjo , San Luis Potosí. Clave Lada 482
El Nayar , Durango. Clave Lada 618
El Nigromante , Veracrúz. Clave Lada 283
El Nigromante , Zacatecas. Clave Lada 496
El Oasis Valsequillo , Puebla. Clave Lada 222
El Obraje , Zacatecas. Clave Lada 496
El Ocotito , Guerrero. Clave Lada 745
El Ojite , Veracrúz. Clave Lada 232
El Oro , Estado de México. Clave Lada 711
El Pacayal , Chiapas. Clave Lada 963
El Palmar (Mpio. Tihuatlan) , Veracrúz. Clave Lada 746
El Palmar (Santa Maria del Palmar) , Querétaro. Clave Lada 441
El Palmar de San Antonio , Jalisco. Clave Lada 321
El Palmar Primero , San Luis Potosí. Clave Lada 444
El Palmar , Guerrero. Clave Lada 747
El Palmar , Veracrúz. Clave Lada 278
El Palmar , Veracrúz. Clave Lada 296
El Papayo , Guerrero. Clave Lada 781
El Parador , Veracrúz. Clave Lada 282
El Paraiso , Guerrero. Clave Lada 742
El Parral , Chiapas. Clave Lada 965
El Pedregal San Jose , Hidalgo. Clave Lada 775
El Pedregal , Michoacán. Clave Lada 434
El Perico , Guanajuato. Clave Lada 456
El Pescadero , Baja California Sur. Clave Lada 612
El Pinalito , Hidalgo. Clave Lada 441
El Pitahayal , Sinaloa. Clave Lada 687
El Pitahayo , Guerrero. Clave Lada 741
El Pital , Veracrúz. Clave Lada 232
El Platanal , Michoacán. Clave Lada 383
El Porvenir (Mpio. Bachiniva) , Chihuahua. Clave Lada 659
El Porvenir (Mpio. Praxedis G.) , Chihuahua. Clave Lada 656
El Porvenir Guadalupe , Baja California. Clave Lada 646
El Porvenir , Oaxaca. Clave Lada 924
El Porvenir , Veracrúz. Clave Lada 284
El Potrero de Sataya , Sinaloa. Clave Lada 672
El Potrero , Nuevo León. Clave Lada 829
El Pozole , Sinaloa. Clave Lada 694
El Progreso (El Jalon) , Sinaloa. Clave Lada 697
El Pueblito , Michoacán. Clave Lada 438
El Pueblito , Querétaro. Clave Lada 442
El Puesto , Jalisco. Clave Lada 474
El Quelite , Sinaloa. Clave Lada 669
El Ramillete , Guanajuato. Clave Lada 477
El Rayon , Chiapas. Clave Lada 919
El Recodo , Sinaloa. Clave Lada 669
El Recuerdo de Ancon , Guanajuato. Clave Lada 464
El Refugio de Penuelas , Aguascalientes. Clave Lada 449
El Retiro , Coahuila. Clave Lada 872
El Rincon , Jalisco. Clave Lada 341
El Roble , Sinaloa. Clave Lada 669
El Rodeo , Morelos. Clave Lada 737
El Rosario , Baja California. Clave Lada 616
El Rosario , Hidalgo. Clave Lada 738
El Rosario , Michoacán. Clave Lada 435
El Rosario , Nayarit. Clave Lada 324
El Rosario , Oaxaca. Clave Lada 951
El Rosario , Querétaro. Clave Lada 442
El Rosario , Tlaxcala. Clave Lada 241
El Rucio , Zacatecas. Clave Lada 458
El Sabino , Chiapas. Clave Lada 961
El Sabino , Guanajuato. Clave Lada 466
El Sabino , Jalisco. Clave Lada 375
El Sabino , Michoacán. Clave Lada 381
El Salado , Sinaloa. Clave Lada 667
El Salitre Palmarillos , Estado de México. Clave Lada 716
El Salitre , Aguascalientes. Clave Lada 495
El Salitre , Jalisco. Clave Lada 385
El Salitre , Querétaro. Clave Lada 442
El Salteador , Guanajuato. Clave Lada 411
El Salto (El Salto de Santa Cru , Zacatecas. Clave Lada 493
El Salto de los Salado , Aguascalientes. Clave Lada 449
El Salto , Durango. Clave Lada 675
El Salto , Jalisco. Clave Lada 33
El Salvador , Jalisco. Clave Lada 374
El Sargento , Baja California Sur. Clave Lada 612
El Saucillo , Hidalgo. Clave Lada 761
El Saucito , Zacatecas. Clave Lada 458
El Sauz (El Sauz de Villasenor) , Guanajuato. Clave Lada 461
El Sauz de Abajo , Michoacán. Clave Lada 351
El Sauz , Chihuahua. Clave Lada 614
El Sauzal , Baja California. Clave Lada 646
El Sitio , Zacatecas. Clave Lada 496
El Suchil , Guerrero. Clave Lada 742
El Tajuelo , Estado de México. Clave Lada 593
El Tamarindo , Nayarit. Clave Lada 319
El Tamarindo , Veracrúz. Clave Lada 278
El Tambor , Guanajuato. Clave Lada 456
El Tecolote , Guanajuato. Clave Lada 476
El Tepeguaje , Jalisco. Clave Lada 376
El Tephe , Hidalgo. Clave Lada 759
El Tequesquite , Michoacán. Clave Lada 356
El Terrero , Chihuahua. Clave Lada 635
El Terrero , Chihuahua. Clave Lada 659
El Terrero , Michoacán. Clave Lada 426
El Testerazo , Baja California. Clave Lada 665
El Tigre , Guanajuato. Clave Lada 411
El Tizate , Nayarit. Clave Lada 323
El Toro , Guanajuato. Clave Lada 476
El Tothie , Hidalgo. Clave Lada 738
El Trapiche , Colima. Clave Lada 312
El Triunfo , Chiapas. Clave Lada 918
El Triunfo , Tabasco. Clave Lada 934
El Tuito , Jalisco. Clave Lada 322
El Tule , Chihuahua. Clave Lada 649
El Tule , Zacatecas. Clave Lada 458
El Varal , Guanajuato. Clave Lada 429
El Vegil , Querétaro. Clave Lada 448
El Veladero (Santa Cruz Velader , Puebla. Clave Lada 245
El Venado , Hidalgo. Clave Lada 771
El Venado , Nayarit. Clave Lada 319
El Verde , Sinaloa. Clave Lada 694
El Vergel (Ejido El Vergel) , Chihuahua. Clave Lada 649
El Vergel (Paraiso) , Aguascalientes. Clave Lada 449
El Vergel , Durango. Clave Lada 871
El Viejon Nuevo , Veracrúz. Clave Lada 296
El Volador , Veracrúz. Clave Lada 784
El Zacaton , San Luis Potosí. Clave Lada 458
El Zapote , Jalisco. Clave Lada 372
Emiliano Zapata (Morones) , Zacatecas. Clave Lada 498
Emiliano Zapata (San Jose) , Zacatecas. Clave Lada 498
Emiliano Zapata , Aguascalientes. Clave Lada 465
Emiliano Zapata , Chiapas. Clave Lada 966
Emiliano Zapata , Durango. Clave Lada 676
Emiliano Zapata , Guanajuato. Clave Lada 412
Emiliano Zapata , Hidalgo. Clave Lada 748
Emiliano Zapata , Jalisco. Clave Lada 315
Emiliano Zapata , Jalisco. Clave Lada 33
Emiliano Zapata , Morelos. Clave Lada 777
Emiliano Zapata , Tabasco. Clave Lada 934
Emiliano Zapata , Tlaxcala. Clave Lada 241
Emiliano Zapata , Veracrúz. Clave Lada 278
EmilianoZapata Nexatengo , Puebla. Clave Lada 244
Emilio Carranza , Veracrúz. Clave Lada 235
Emilio Carranza , Zacatecas. Clave Lada 433
Empalme Escobedo , Guanajuato. Clave Lada 412
Empalme , Sonora. Clave Lada 622
Empalme , Tamaulipas. Clave Lada 894
Encarnacion de Diaz , Jalisco. Clave Lada 475
Enramadas , San Luis Potosí. Clave Lada 485
Enrique Rodriguez Cano (Zapotal , Veracrúz. Clave Lada 746
Ensenada , Baja California. Clave Lada 646
Entabladero , Veracrúz. Clave Lada 784
Entronque de Matehuala (El Huiz , San Luis Potosí. Clave Lada 486
Epazoyucan , Hidalgo. Clave Lada 771
Epigmenio Gonzalez (El Ahorcado , Querétaro. Clave Lada 448
Epitacio Huerta , Michoacán. Clave Lada 421
Erendira , Baja California. Clave Lada 646
Ermita de Guadalupe , Zacatecas. Clave Lada 494
Ermita de los Correas , Zacatecas. Clave Lada 494
Erongaicuaro , Michoacán. Clave Lada 434
Escaleras , Aguascalientes. Clave Lada 465
Escalerillas , San Luis Potosí. Clave Lada 444
Escalon , Chihuahua. Clave Lada 629
Escamillas , Sinaloa. Clave Lada 669
Escape de Lagunillas , Puebla. Clave Lada 243
Escarcega , Camp. Clave Lada 982
Escolasticas , Querétaro. Clave Lada 448
Escuadron Doscientos Uno , Coahuila. Clave Lada 871
Escuinapa , Sinaloa. Clave Lada 695
Escuintla , Chiapas. Clave Lada 918
Esmeralda , Durango. Clave Lada 871
Espanita , Tlaxcala. Clave Lada 241
Esperanza , Puebla. Clave Lada 245
Esperanza , Querétaro. Clave Lada 419
Esperanza , Sonora. Clave Lada 644
Espinal , Oaxaca. Clave Lada 971
Espita , Yucatán. Clave Lada 986
Esqueda , Sonora. Clave Lada 633
Estacion Bamoa (Campo Wilson) , Sinaloa. Clave Lada 687
Estacion Capomas , Sinaloa. Clave Lada 687
Estacion Catorce , San Luis Potosí. Clave Lada 488
Estacion Coahuila (Km Clave Lada 57) , Baja California. Clave Lada 653
Estacion Consuelo , Chihuahua. Clave Lada 639
Estacion Cuauhtemoc , Tamaulipas. Clave Lada 836
Estacion Chontalpa , Tabasco. Clave Lada 917
Estacion de Apulco , Hidalgo. Clave Lada 774
Estacion Hacienda de Bocas , San Luis Potosí. Clave Lada 444
Estacion Joaquin , Guanajuato. Clave Lada 429
Estacion Llano , Sonora. Clave Lada 641
Estacion Manuel , Tamaulipas. Clave Lada 836
Estacion Naranjo , Sinaloa. Clave Lada 687
Estacion Noe , Durango. Clave Lada 871
Estacion Penjamo , Guanajuato. Clave Lada 469
Estacion Querendaro , Michoacán. Clave Lada 451
Estacion Rosales , Sinaloa. Clave Lada 667
Estacion San Diego , Puebla. Clave Lada 222
Estacion San Jose , Zacatecas. Clave Lada 493
Estacion San Juan de los Lagos , Jalisco. Clave Lada 475
Estacion Santa Engracia , Tamaulipas. Clave Lada 835
Estacion Sarabia , Oaxaca. Clave Lada 972
Estacion Wadley , San Luis Potosí. Clave Lada 488
Estacion Yago , Nayarit. Clave Lada 323
Estancia de Animas , Zacatecas. Clave Lada 496
Estancia de Guadalupe , Zacatecas. Clave Lada 496
Estancia de Los Lopez , Nayarit. Clave Lada 324
Estanzuela de Romero , Guanajuato. Clave Lada 421
Estanzuela , Veracrúz. Clave Lada 228
Esteban S. Castorena (Casas Col , Zacatecas. Clave Lada 458
Estero de la Bocana , Baja California Sur. Clave Lada 615
Esteros , Tamaulipas. Clave Lada 836
Estipac , Jalisco. Clave Lada 377
Estrada , Guanajuato. Clave Lada 461
Etchojoa , Sonora. Clave Lada 647
Etchoropo , Sonora. Clave Lada 647
Etucuaro , Michoacán. Clave Lada 459
Etucuaro , Michoacán. Clave Lada 355
Etzatlan , Jalisco. Clave Lada 386
Exhacienda de Jesus Maria , San Luis Potosí. Clave Lada 485
Ex-hacienda de Solis , Estado de México. Clave Lada 718
Exhacienda de Trejo (Trejo) , Guanajuato. Clave Lada 472
Ezequiel Montes , Querétaro. Clave Lada 441
Felipe Angeles , Zacatecas. Clave Lada 499
Felipe Carrillo Puerto (Carrillo Puerto) , Nayarit. Clave Lada 327
Felipe Carrillo Puerto (La Ruana) , Michoacán. Clave Lada 426
Felipe Carrillo Puerto (Paso Largo) , Veracrúz. Clave Lada 232
Felipe Carrillo Puerto , Camp. Clave Lada 982
Felipe Carrillo Puerto , Quintana Roo. Clave Lada 983
Felipe Neri (Cuatepec) , Morelos. Clave Lada 735
Flamboyanes , Yucatán. Clave Lada 969
Flores Magon , Chiapas. Clave Lada 918
Fontezuelas , Michoacán. Clave Lada 434
Fortin de las Flores , Veracrúz. Clave Lada 271
Fortines y Emiliano Zapata (Fortines) , Tamaulipas. Clave Lada 831
Fracc. Emiliano Zapata , Nayarit. Clave Lada 329
Fracc. Kunetzin de los Volcanes , Morelos. Clave Lada 735
Fraccion de Lourdes (Lourdes) , Guanajuato. Clave Lada 468
Fraccionamiento Campestre San C , Aguascalientes. Clave Lada 465
Fraccionamiento Haciendas del C , Guanajuato. Clave Lada 462
Fraccionamiento La Reforma , Hidalgo. Clave Lada 771
Fraccionamiento Nuevo Empalme , Sonora. Clave Lada 622
Francisco Garcia Salinas , Zacatecas. Clave Lada 498
Francisco I. Madero (Puga) , Nayarit. Clave Lada 311
Francisco I. Madero Clave Lada 3ra. Seccio , Tabasco. Clave Lada 933
Francisco I. Madero , Coahuila. Clave Lada 872
Francisco I. Madero , Durango. Clave Lada 677
Francisco I. Madero , Tabasco. Clave Lada 913
Francisco I. Madero , Tamaulipas. Clave Lada 831
Francisco I. Madero , Veracrúz. Clave Lada 294
Francisco Javier Mina , Jalisco. Clave Lada 391
Francisco Murguia , Durango. Clave Lada 675
Francisco R. Serrano (Valle San Matias) , Baja California. Clave Lada 646
Francisco Rueda Serrano , Durango. Clave Lada 677
Francisco Rueda , Tabasco. Clave Lada 923
Francisco Sarabia , Veracrúz. Clave Lada 235
Francisco Villa , Tabasco. Clave Lada 917
Franco Tavera , Guanajuato. Clave Lada 412
Fresnillo , Zacatecas. Clave Lada 493
Frias , Guanajuato. Clave Lada 432
Frontera Comalapa , Chiapas. Clave Lada 963
Frontera Hidalgo , Chiapas. Clave Lada 962
Frontera , Coahuila. Clave Lada 866
Frontera , Tabasco. Clave Lada 913
Fronteras , Sonora. Clave Lada 633
Fuentes del Valle , Estado de México. Clave Lada 55
G.Rodrigo M. Quevedo (Pto.Palomas) , Chihuahua. Clave Lada 656
Gabriel Hernandez (Mancinas) , Durango. Clave Lada 675
Gabriel Leyva Solano (Benito Juarez) , Sinaloa. Clave Lada 687
Gabriel Zamora (Lombardia) , Michoacán. Clave Lada 422
Galeana , Chihuahua. Clave Lada 636
Galeana , Michoacán. Clave Lada 438
Galeana , Nuevo León. Clave Lada 826
Galera de la Grulla , Guanajuato. Clave Lada 429
Galera de Panales (Panales) , Guanajuato. Clave Lada 466
Galeras , Querétaro. Clave Lada 419
Galindo (San Jose Galindo) , Querétaro. Clave Lada 427
Gambara , Michoacán. Clave Lada 425
Gandho , Hidalgo. Clave Lada 761
Garcia de la Cadena , Zacatecas. Clave Lada 467
Garcia , Nuevo León. Clave Lada 81
Garcias , Puebla. Clave Lada 249
Garza Ayala , Nuevo León. Clave Lada 824
Garza Gonzalez , Nuevo León. Clave Lada 823
Gavia de Rivas , Guanajuato. Clave Lada 432
Genaro Estrada , Sinaloa. Clave Lada 687
General Chavez Talamantes , Sinaloa. Clave Lada 668
General Bravo , Nuevo León. Clave Lada 823
General Calixto Contreras (Colo , Durango. Clave Lada 676
General Cepeda , Coahuila. Clave Lada 842
General Enrique Estrada , Zacatecas. Clave Lada 478
General Escobedo , Durango. Clave Lada 649
General Felipe Angeles , Hidalgo. Clave Lada 743
General Francisco Villa , Tamaulipas. Clave Lada 841
General Genaro Codina , Zacatecas. Clave Lada 458
General Ignacio Zaragoza (Venadero) , Aguascalientes. Clave Lada 449
General Ignacio Zaragoza , Durango. Clave Lada 677
General Jesus Agustin Castro (Independencia) , Durango. Clave Lada 676
General Juan Jose Rios (Cienega , Zacatecas. Clave Lada 498
General Lazaro Cardenas (El Col , Querétaro. Clave Lada 442
General Lazaro Cardenas (El Lim , Michoacán. Clave Lada 426
General Pedro Maria Anaya (San Mateo) , Hidalgo. Clave Lada 773
General Simon Bolivar , Durango. Clave Lada 671
General Tapia (Mariano Escobedo , Nuevo León. Clave Lada 823
General Teran , Nuevo León. Clave Lada 826
General Trevino , Nuevo León. Clave Lada 892
General Vicente Guerrero (Pobla , Tabasco. Clave Lada 937
General Zaragoza , Nuevo León. Clave Lada 826
General Zuazua , Nuevo León. Clave Lada 825
Gildardo Magana (Los Angeles) , Michoacán. Clave Lada 354
Golfo de Santa Clara , Sonora. Clave Lada 653
Gomez Farias , Jalisco. Clave Lada 341
Gomez Palacio , Durango. Clave Lada 871
Gonzalez Clave Lada 1ra. Seccion , Tabasco. Clave Lada 993
Gonzalez Clave Lada 2da. Seccion , Tabasco. Clave Lada 993
Gonzalez Ortega (Banon) , Zacatecas. Clave Lada 458
Gonzalez Ortega , Puebla. Clave Lada 282
Gonzalez Ortega , Zacatecas. Clave Lada 496
Gonzalez , Tamaulipas. Clave Lada 836
Graceros , Durango. Clave Lada 675
Graciano Sanchez , Tamaulipas. Clave Lada 836
Gral. Fco. Gonzalez Villarreal ,  (San Juan) , Tamaulipas. Clave Lada 841
Gral. J. Ma. Morelos y Pavon (Canada Honda) , Aguascalientes. Clave Lada 449
Gral.Felipe Carrillo Puerto , Durango. Clave Lada 676
Granjas Residenciales , Querétaro. Clave Lada 414
Granjenal , San Luis Potosí. Clave Lada 486
Gsemez , Tamaulipas. Clave Lada 835
Guachinango , Jalisco. Clave Lada 388
Guachochi , Chihuahua. Clave Lada 649
Guadalajara , Jalisco. Clave Lada 33
Guadalcazar , San Luis Potosí. Clave Lada 486
Guadalupe (Guadalupe de Ures) , Sonora. Clave Lada 623
Guadalupe de Cisneros , Oaxaca. Clave Lada 953
Guadalupe de Jalpa , Guanajuato. Clave Lada 476
Guadalupe de Ramirez , Oaxaca. Clave Lada 953
Guadalupe de Rivera , Guanajuato. Clave Lada 462
Guadalupe Distrito Bravos , Chihuahua. Clave Lada 656
Guadalupe la Huertilla , Oaxaca. Clave Lada 953
Guadalupe Santa Ana , Puebla. Clave Lada 275
Guadalupe Victoria (Km Clave Lada 43) , Baja California. Clave Lada 658
Guadalupe Victoria (La Virocha) , Nayarit. Clave Lada 323
Guadalupe Victoria (Lazaro Card , Chiapas. Clave Lada 965
Guadalupe Victoria (Mp.Asencion) , Chih Clave Lada 636
Guadalupe Victoria (Mp.Meoqui) , Chihuahua. Clave Lada 639
Guadalupe Victoria , Durango. Clave Lada 676
Guadalupe Victoria , Jalisco. Clave Lada 496
Guadalupe Victoria , Puebla. Clave Lada 282
Guadalupe Victoria , Puebla. Clave Lada 275
Guadalupe Victoria , Sinaloa. Clave Lada 667
Guadalupe Victoria , Tamaulipas. Clave Lada 835
Guadalupe y Calvo , Chihuahua. Clave Lada 649
Guadalupe Zaragoza , Puebla. Clave Lada 248
Guadalupe , Nuevo León. Clave Lada 81
Guadalupe , Nuevo León. Clave Lada 821
Guadalupe , Zacatecas. Clave Lada 492
Gualterio , Zacatecas. Clave Lada 457
Guamuchil , Sinaloa. Clave Lada 673
Guanacevi , Durango. Clave Lada 674
Guanajuato , Guanajuato. Clave Lada 473
Guandaro , Michoacán. Clave Lada 359
Guarapo , Guanajuato. Clave Lada 456
Guardados de Arriba , Tamaulipas. Clave Lada 897
Guasave , Sinaloa. Clave Lada 687
Guascuaro de Mugica , Michoacán. Clave Lada 354
Guatacalca , Tabasco. Clave Lada 914
Guatimape , Durango. Clave Lada 677
Guayabo de Santa Rita , Guanajuato. Clave Lada 432
Guayameo , Guerrero. Clave Lada 767
Guaymas , Sonora. Clave Lada 622
Guegovela , Oaxaca. Clave Lada 951
Guerrero Negro , Baja California Sur. Clave Lada 615
Guerrero , Coahuila. Clave Lada 862
Guineo Clave Lada 1a. Seccion , Tabasco. Clave Lada 993
Gustavo A. Madero , CDMX (Ciudad de México). Clave Lada 55
Gustavo Diaz Ordaz (El Carrizo) , Sinaloa. Clave Lada 668
Gustavo Diaz Ordaz (Vizcaino) , Baja California.S Clave Lada 615
Gustavo Diaz Ordaz , Tamaulipas. Clave Lada 891
Gutierrez (Estacion Gutierrez) , Zacatecas. Clave Lada 493
Gutierrez Zamora , Veracrúz. Clave Lada 766
Hacienda de Cabanas , Guerrero. Clave Lada 781
Hacienda de la Bolsa (La Bolsa) , Guanajuato. Clave Lada 411
Hacienda Nueva , Zacatecas. Clave Lada 492
Halacho , Yucatán. Clave Lada 997
Hecelchakan , Camp. Clave Lada 996
Heriberto Jara (La Presa) , Michoacán. Clave Lada 451
Hermanos Cedillo , Veracrúz. Clave Lada 924
Hermenegildo Galeana Clave Lada 2da. Secci , Tabasco. Clave Lada 914
Hermenegildo Galeana , Puebla. Clave Lada 953
Hermiltepec (Pena Blanca) , Estado de México. Clave Lada 724
Hermosillo , Baja California. Clave Lada 658
Hermosillo , Sonora. Clave Lada 662
Hernandez , San Luis Potosí. Clave Lada 458
Heroes de Chapultepec , Michoacán. Clave Lada 438
Heroes de la Independencia , Baja California. Clave Lada 646
Hidalgo (Colonia Hidalgo) , Zacatecas. Clave Lada 433
Hidalgo (Ejido Hidalgo) , Chihuahua. Clave Lada 636
Hidalgo Novillero (Nuevo Mileni , Chiapas. Clave Lada 918
Hidalgo , Coahuila. Clave Lada 867
Hidalgo , Coahuila. Clave Lada 871
Hidalgo , Chiapas. Clave Lada 918
Hidalgo , Nuevo León. Clave Lada 829
Hidalgo , Tamaulipas. Clave Lada 835
Hidalgo , Veracrúz. Clave Lada 833
Hidalgotitlan , Veracrúz. Clave Lada 924
Higuera Blanca , Nayarit. Clave Lada 329
Higuera de Zaragoza , Sinaloa. Clave Lada 668
Higueras de Abuya , Sinaloa. Clave Lada 667
Higueras , Nuevo León. Clave Lada 825
Higuerillas , Querétaro. Clave Lada 441
Hocaba , Yucatán. Clave Lada 988
Hoctun , Yucatán. Clave Lada 988
Holbox , Quintana Roo. Clave Lada 984
Holca , Yucatán. Clave Lada 988
Homun , Yucatán. Clave Lada 988
Honey , Puebla. Clave Lada 776
Hopelchen , Camp. Clave Lada 996
Hostotipaquillo , Jalisco. Clave Lada 386
Huachinantla , Puebla. Clave Lada 275
Huachinera , Sonora. Clave Lada 634
Huahuemba , Guanajuato. Clave Lada 445
Huajicori , Nayarit. Clave Lada 325
Huajintepec , Guerrero. Clave Lada 741
Huajintlan , Morelos. Clave Lada 751
Huajumbaro , Michoacán. Clave Lada 786
Hualahuises , Nuevo León. Clave Lada 821
Huamantla , Tlaxcala. Clave Lada 247
Huamuchil , Oaxaca. Clave Lada 994
Huamuxtitlan , Guerrero. Clave Lada 757
Huandacareo , Michoacán. Clave Lada 455
Huandarillo (Guandarillo) , Guanajuato. Clave Lada 469
Huanimaro , Guanajuato. Clave Lada 429
Huaniqueo de Morales , Michoacán. Clave Lada 454
Huanusco , Zacatecas. Clave Lada 463
Huapamacato , Michoacán. Clave Lada 328
Huapango , Guanajuato. Clave Lada 466
Huaquechula , Puebla. Clave Lada 244
Huasabas , Sonora. Clave Lada 634
Huasca de Ocampo , Hidalgo. Clave Lada 771
Huascato , Jalisco. Clave Lada 345
Huatabampo , Sonora. Clave Lada 647
Huatlatlauca , Puebla. Clave Lada 224
Huatusco , Veracrúz. Clave Lada 273
Huauchinango , Puebla. Clave Lada 776
Huautla de Jimenez , Oaxaca. Clave Lada 236
Huautla , Hidalgo. Clave Lada 746
Huayacocotla , Veracrúz. Clave Lada 774
Huayalejo , Veracrúz. Clave Lada 846
Huazuntlan , Veracrúz. Clave Lada 924
Huecahuasco , Morelos. Clave Lada 731
Huehuetan , Chiapas. Clave Lada 964
Huehuetan , Guerrero. Clave Lada 741
Huehuetla , Puebla. Clave Lada 233
Huehuetlan El Chico , Puebla. Clave Lada 275
Huehuetlan , San Luis Potosí. Clave Lada 482
Huehuetoca , Estado de México. Clave Lada 593
Huejonapan (San Antonio) , Puebla. Clave Lada 224
Huejotengo (San Marcos) , Morelos. Clave Lada 731
Huejotitan , Jalisco. Clave Lada 387
Huejotzingo , Puebla. Clave Lada 227
Huejucar , Jalisco. Clave Lada 457
Huejuquilla El Alto , Jalisco. Clave Lada 457
Huejutla de Reyes , Hidalgo. Clave Lada 789
Huepac , Sonora. Clave Lada 623
Huetamo , Michoacán. Clave Lada 435
Hueyapan (San Andres Hueyapan) , Morelos. Clave Lada 731
Hueyotlipan , Tlaxcala. Clave Lada 241
Hueypoxtla , Estado de México. Clave Lada 599
Hueytamalco , Puebla. Clave Lada 232
Hueytepec , Veracrúz. Clave Lada 232
Huhi , Yucatán. Clave Lada 988
Huichapan , Hidalgo. Clave Lada 761
Huichihuayan , San Luis Potosí. Clave Lada 482
Huimanguillo , Tabasco. Clave Lada 917
Huimilpan , Querétaro. Clave Lada 448
Huiramba , Michoacán. Clave Lada 434
Huisquilco (Huiscuilco) , Jalisco. Clave Lada 344
Huitchila , Morelos. Clave Lada 769
Huitexcalco de Morelos , Hidalgo. Clave Lada 738
Huitiupan , Chiapas. Clave Lada 919
Huitzatarito , Guanajuato. Clave Lada 429
Huitzilac , Morelos. Clave Lada 739
Huitzitzilingo , Hidalgo. Clave Lada 483
Huitzuco , Guerrero. Clave Lada 727
Huixquilucan , Estado de México. Clave Lada 55
Huixtac , Guerrero. Clave Lada 762
Huixtan , Chiapas. Clave Lada 967
Huixtepec , Guerrero. Clave Lada 741
Huixtla , Chiapas. Clave Lada 964
Humango Clave Lada 2da. Seccion , Tabasco. Clave Lada 914
Hunucma , Yucatán. Clave Lada 988
Ibarra , Michoacán. Clave Lada 393
Idolos , Veracrúz. Clave Lada 279
